Reactor Name,Reactor Status,Country,Reactor Type,Model,Owner,Operator,Reference Unit Power (Net Capacity) [MWe],Design Net Capacity [MWe],Gross Capacity [MWe],Thermal Capacity [MWt],Construction Start Date,First Criticality Date,Construction Suspended Date,Construction Restart Date,First Grid Connection,Commercial Operation Date,Suspended Operation Date,End of Suspended Operation Date,Permanent Shutdown Date,Thermal Efficiency [%],Energy Efficiency [%],Years Connected,Total Power Supplied [TW.h],Hours On Line
DARLINGTON-4,Operational,Canada,PHWR,CANDU 850,Ontario Power Generation,Ontario Power Generation,878,881,934,2776,1985-07-01,1993-03-13,,,1993-04-17,1993-06-14,,,,31.63,31.74,31,200.09,234125.0
DOUGLAS POINT,Permanent Shutdown,Canada,PHWR,CANDU 200,"ATOMIC ENERGY OF CANADA, LTD.",ONTARIO HYDRO,206,203,218,704,1960-02-01,1966-11-15,,,1967-01-07,1968-09-26,,,1984-05-04,29.26,28.84,18,14.26,84435.0
GENTILLY-1,Permanent Shutdown,Canada,HWLWR,HW BLWR 250,Canadian Nuclear Laboratories Limited,HYDRO QUEBEC,250,250,266,792,1966-09-01,1970-11-12,,,1971-04-05,1972-05-01,,,1977-06-01,31.57,31.57,7,0.74,4183.0
GENTILLY-2,Permanent Shutdown,Canada,PHWR,CANDU 6,HYDRO QUEBEC,HYDRO QUEBEC,635,645,675,2156,1974-04-01,1982-09-11,,,1982-12-04,1983-10-01,,,2012-12-28,29.45,29.92,31,124.83,208182.0
PICKERING-1,Permanent Shutdown,Canada,PHWR,CANDU 500A,Ontario Power Generation,Ontario Power Generation,515,508,542,1744,1966-06-01,1971-02-25,,,1971-04-04,1971-07-29,1997-12-31,2005-09-26,2024-10-01,29.53,29.13,53,135.0,275881.0
PICKERING-2,Permanent Shutdown,Canada,PHWR,CANDU 500A,Ontario Power Generation,Ontario Power Generation,515,508,542,1744,1966-09-01,1971-09-15,,,1971-10-06,1971-12-30,1997-12-31,2007-05-28,2007-05-28,29.53,29.13,37,71.39,143837.0
PICKERING-3,Permanent Shutdown,Canada,PHWR,CANDU 500A,Ontario Power Generation,Ontario Power Generation,515,508,542,1744,1967-12-01,1972-04-24,,,1972-05-03,1972-06-01,1997-12-29,2008-10-31,2008-10-31,29.53,29.13,37,80.0,159387.0
PICKERING-4,Permanent Shutdown,Canada,PHWR,CANDU 500A,Ontario Power Generation,Ontario Power Generation,515,508,542,1744,1968-05-01,1973-05-16,,,1973-05-21,1973-06-17,1998-01-02,2003-09-21,2024-12-31,29.53,29.13,51,138.7,281667.0
PICKERING-5,Operational,Canada,PHWR,CANDU 500B,Ontario Power Generation,Ontario Power Generation,516,516,540,1744,1974-11-01,1982-10-23,,,1982-12-19,1983-05-10,,,,29.59,29.59,42,137.11,280033.0
PICKERING-6,Operational,Canada,PHWR,CANDU 500B,Ontario Power Generation,Ontario Power Generation,516,516,540,1744,1975-10-01,1983-10-15,,,1983-11-08,1984-02-01,,,,29.59,29.59,41,142.18,285515.0
PICKERING-7,Operational,Canada,PHWR,CANDU 500B,Ontario Power Generation,Ontario Power Generation,516,516,540,1744,1976-03-01,1984-10-22,,,1984-11-17,1985-01-01,,,,29.59,29.59,40,138.89,278760.0
PICKERING-8,Operational,Canada,PHWR,CANDU 500B,Ontario Power Generation,Ontario Power Generation,516,516,540,1744,1976-09-01,1985-12-17,,,1986-01-21,1986-02-28,,,,29.59,29.59,38,128.98,261324.0
POINT LEPREAU,Operational,Canada,PHWR,CANDU 6,NEW BRUNSWICK ELECTRIC POWER COMMISSION,NEW BRUNSWICK ELECTRIC POWER COMMISSION,660,660,705,2180,1975-05-01,1982-07-25,,,1982-09-11,1983-02-01,,,,30.28,30.28,42,166.35,267939.0
ROLPHTON NPD,Permanent Shutdown,Canada,PHWR,CANDU,NUCLEAR PORTION: AECL ; CONVENTIONAL PORTION: ONTARIO HYDRO,ONTARIO HYDRO,22,17,25,92,1958-01-01,1962-04-11,,,1962-06-04,1962-10-01,,,1987-08-01,23.91,18.48,26,2.17,105281.0
CHANGJIANG-1,Operational,China,PWR,CNP-600,Hainan Nuclear Power Company,Hainan Nuclear Power Company,601,601,650,1930,2010-04-25,2015-10-12,,,2015-11-07,2015-12-25,,,,31.14,31.14,9,34.16,64378.0
CHANGJIANG-2,Operational,China,PWR,CNP-600,CHINA NATIONAL NUCLEAR CORPORATION,Hainan Nuclear Power Company,601,601,650,1930,2010-11-21,2016-06-09,,,2016-06-20,2016-08-12,,,,31.14,31.14,8,31.73,59196.0
CHANGJIANG-3,Under Construction,China,PWR,HPR1000,China Huaneng Group,China Huaneng Group,1000,1000,1198,3190,2021-03-31,N/A,,,N/A,N/A,,,,31.35,31.35,0,0.0,0.0
CHANGJIANG-4,Under Construction,China,PWR,HPR1000,China Huaneng Group,China Huaneng Group,1000,1000,1198,3190,2021-12-28,N/A,,,N/A,N/A,,,,31.35,31.35,0,0.0,0.0
DAYA BAY-1,Operational,China,PWR,M310,GUANGDONG NUCLEAR POWER JOINT VENTURE COMPANY LIMITED,"Daya Bay Nuclear Power Operations and Management Co, Ltd.",944,930,984,2905,1987-08-07,1993-07-28,,,1993-08-31,1994-02-01,,,,32.5,32.01,31,216.68,232923.0
DAYA BAY-2,Operational,China,PWR,M310,GUANGDONG NUCLEAR POWER JOINT VENTURE COMPANY LIMITED,"Daya Bay Nuclear Power Operations and Management Co, Ltd.",986,930,1026,2905,1988-04-07,1994-01-21,,,1994-02-07,1994-05-06,,,,33.94,32.01,30,213.36,229502.0
FANGCHENGGANG-1,Operational,China,PWR,CPR-1000,"Guangxi Fangchenggang Nuclear Power Company, Ltd.","Guangxi Fangchenggang Nuclear Power Company, Ltd.",1000,1000,1086,2905,2010-07-30,2015-10-13,,,2015-10-25,2016-01-01,,,,34.42,34.42,9,61.42,63863.0
FANGCHENGGANG-2,Operational,China,PWR,CPR-1000,"Guangxi Fangchenggang Nuclear Power Company, Ltd.","Guangxi Fangchenggang Nuclear Power Company, Ltd.",1000,1000,1086,2905,2010-12-23,2016-06-29,,,2016-07-15,2016-10-01,,,,34.42,34.42,8,57.45,58383.0
FANGCHENGGANG-3,Operational,China,PWR,HPR1000,"Guangxi Fangchenggang Nuclear Power Company, Ltd.","Guangxi Fangchenggang Nuclear Power Company, Ltd.",1000,1000,1180,3150,2015-12-24,2022-12-27,,,2023-01-10,2023-03-25,,,,31.75,31.75,1,7.57,6641.0
FANGCHENGGANG-4,Operational,China,PWR,HPR1000,"Guangxi Fangchenggang Nuclear Power Company, Ltd.","Guangxi Fangchenggang Nuclear Power Company, Ltd.",1000,1000,1180,3150,2016-12-23,2024-04-03,,,2024-04-09,2024-05-25,,,,31.75,31.75,0,,
FANGJIASHAN-1,Operational,China,PWR,CPR-1000,QINSHAN NUCLEAR POWER COMPANY,CNNC Nuclear Operation Management Company Limited,1012,1000,1089,2905,2008-12-26,2014-10-21,,,2014-11-04,2014-12-15,,,,34.84,34.42,10,72.04,72080.0
FANGJIASHAN-2,Operational,China,PWR,CPR-1000,QINSHAN NUCLEAR POWER COMPANY,CNNC Nuclear Operation Management Company Limited,1012,1000,1089,2905,2009-07-17,2014-12-25,,,2015-01-12,2015-02-12,,,,34.84,34.42,9,71.95,72344.0
FUQING-1,Operational,China,PWR,CNP-1000,"CNNC Fujian Fuqing Nuclear Power Co., LTD","CNNC Fujian Fuqing Nuclear Power Co., LTD",1000,1000,1089,2905,2008-11-21,2014-07-24,,,2014-08-20,2014-11-22,,,,34.42,34.42,10,67.94,71311.0
FUQING-2,Operational,China,PWR,CNP-1000,"CNNC Fujian Fuqing Nuclear Power Co., LTD","CNNC Fujian Fuqing Nuclear Power Co., LTD",1000,1000,1089,2905,2009-06-17,2015-07-22,,,2015-08-06,2015-10-16,,,,34.42,34.42,9,61.83,66646.0
FUQING-3,Operational,China,PWR,CNP-1000,"CNNC Fujian Fuqing Nuclear Power Co., LTD","CNNC Fujian Fuqing Nuclear Power Co., LTD",1000,1000,1089,2905,2010-12-31,2016-07-03,,,2016-09-07,2016-10-24,,,,34.42,34.42,8,52.18,55424.0
FUQING-4,Operational,China,PWR,CNP-1000,"CNNC Fujian Fuqing Nuclear Power Co., LTD","CNNC Fujian Fuqing Nuclear Power Co., LTD",1000,1000,1089,2905,2012-11-17,2017-07-16,,,2017-07-29,2017-09-17,,,,34.42,34.42,7,44.17,45642.0
FUQING-5,Operational,China,PWR,HPR1000,"CNNC Fujian Fuqing Nuclear Power Co., LTD","CNNC Fujian Fuqing Nuclear Power Co., LTD",1075,1075,1161,3050,2015-05-07,2020-10-21,,,2020-11-27,2021-01-30,,,,35.25,35.25,4,23.71,22812.0
FUQING-6,Operational,China,PWR,HPR1000,"CNNC Fujian Fuqing Nuclear Power Co., LTD","CNNC Fujian Fuqing Nuclear Power Co., LTD",1075,1075,1150,3060,2015-12-22,2021-12-11,,,2022-01-01,2022-03-25,,,,35.13,35.13,2,16.18,15559.0
HAIYANG-1,Operational,China,PWR,AP-1000,China Power Investment Group,"Shandong Nuclear Power Company, Ltd.",1170,1126,1250,3415,2009-09-24,2018-08-08,,,2018-08-17,2018-10-22,,,,34.26,32.97,6,48.59,43113.0
HAIYANG-2,Operational,China,PWR,AP-1000,China Power Investment Group,"Shandong Nuclear Power Company, Ltd.",1170,1126,1250,3415,2010-06-20,2018-09-29,,,2018-10-13,2019-01-09,,,,34.26,32.97,6,47.89,42351.0
HAIYANG-3,Under Construction,China,PWR,CAP1000,China Power Investment Group,"Shandong Nuclear Power Company, Ltd.",1161,1161,1253,3400,2022-07-07,N/A,,,N/A,N/A,,,,34.15,34.15,0,0.0,0.0
HAIYANG-4,Under Construction,China,PWR,CAP1000,China Power Investment Group,"Shandong Nuclear Power Company, Ltd.",1161,1161,1253,3400,2023-04-22,N/A,,,N/A,N/A,,,,34.15,34.15,0,0.0,0.0
HONGYANHE-1,Operational,China,PWR,CPR-1000,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),1061,1061,1119,2905,2007-08-18,2013-01-16,,,2013-02-17,2013-06-06,,,,36.52,36.52,11,80.97,84294.0
HONGYANHE-2,Operational,China,PWR,CPR-1000,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),1061,1061,1119,2905,2008-03-28,2013-10-24,,,2013-11-23,2014-05-13,,,,36.52,36.52,11,68.42,69834.0
HONGYANHE-3,Operational,China,PWR,CPR-1000,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),1061,1061,1119,2905,2009-03-07,2014-10-27,,,2015-03-23,2015-08-16,,,,36.52,36.52,9,57.57,59006.0
HONGYANHE-4,Operational,China,PWR,CPR-1000,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),1061,1061,1119,2905,2009-08-15,2016-03-05,,,2016-04-01,2016-06-08,,,,36.52,36.52,8,48.58,49325.0
HONGYANHE-5,Operational,China,PWR,ACPR-1000,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),1061,1061,1119,2905,2015-03-29,2021-06-13,,,2021-06-25,2021-07-31,,,,36.52,36.52,3,19.28,19390.0
HONGYANHE-6,Operational,China,PWR,ACPR-1000,Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),Liaoning Hongyanhe Nuclear Power Co. Ltd. (LHNPC),1061,1061,1119,2905,2015-07-24,2022-04-21,,,2022-05-02,2022-06-23,,,,36.52,36.52,2,12.7,12668.0
LIANJIANG-1,Under Construction,China,PWR,CAP1000,China Power Investment Group,"Zhanjiang Nuclear Power Company, Ltd.",1224,1224,1224,3400,2023-09-27,N/A,,,N/A,N/A,,,,36.0,36.0,0,0.0,0.0
LIANJIANG-2,Under Construction,China,PWR,CAP1000,China Power Investment Group,"Zhanjiang Nuclear Power Company, Ltd.",1224,1224,1224,3400,2024-04-26,N/A,,,N/A,N/A,,,,36.0,36.0,0,0.0,0.0
LING AO-1,Operational,China,PWR,M310,LINGAO NUCLEAR POWER COMPANY LTD.,"Daya Bay Nuclear Power Operations and Management Co, Ltd.",950,950,990,2905,1997-05-15,2002-02-04,,,2002-02-26,2002-05-28,,,,32.7,32.7,22,157.69,171403.0
LING AO-2,Operational,China,PWR,M310,LINGAO NUCLEAR POWER COMPANY LTD.,"Daya Bay Nuclear Power Operations and Management Co, Ltd.",950,950,990,2905,1997-11-28,2002-08-27,,,2002-09-14,2003-01-08,,,,32.7,32.7,22,154.35,166764.0
LING AO-3,Operational,China,PWR,CPR-1000,Lingdong Nuclear Power Company Ltd.,"Daya Bay Nuclear Power Operations and Management Co, Ltd.",1007,1007,1086,2905,2005-12-15,2010-06-09,,,2010-07-15,2010-09-15,,,,34.66,34.66,14,102.99,105221.0
LING AO-4,Operational,China,PWR,CPR-1000,Lingdong Nuclear Power Company Ltd.,"Daya Bay Nuclear Power Operations and Management Co, Ltd.",1007,1007,1086,2905,2006-06-15,2011-02-25,,,2011-05-03,2011-08-07,,,,34.66,34.66,13,96.66,99760.0
LINGLONG-1,Under Construction,China,PWR,ACP100,Hainan Nuclear Power Company,Hainan Nuclear Power Company,100,100,125,385,2021-07-13,N/A,,,N/A,N/A,,,,25.97,25.97,0,0.0,0.0
LUFENG-5,Under Construction,China,PWR,HPR1000,"CGN Lufeng Nuclear Power Co., Ltd","CGN Lufeng Nuclear Power Co., Ltd",1116,1116,1200,3180,2022-09-08,N/A,,,N/A,N/A,,,,35.09,35.09,0,0.0,0.0
LUFENG-6,Under Construction,China,PWR,HPR1000,"CGN Lufeng Nuclear Power Co., Ltd","CGN Lufeng Nuclear Power Co., Ltd",1116,1116,1200,3180,2023-08-26,N/A,,,N/A,N/A,,,,35.09,35.09,0,0.0,0.0
NINGDE-1,Operational,China,PWR,CPR-1000,"Fujian Ningde Nuclear Power Company, Ltd.","Fujian Ningde Nuclear Power Company, Ltd.",1018,1018,1089,2905,2008-02-18,2012-11-24,,,2012-12-28,2013-04-15,,,,35.04,35.04,12,82.97,83365.0
NINGDE-2,Operational,China,PWR,CPR-1000,"Fujian Ningde Nuclear Power Company, Ltd.","Fujian Ningde Nuclear Power Company, Ltd.",1018,1018,1089,2905,2008-11-12,2013-12-20,,,2014-01-04,2014-05-04,,,,35.04,35.04,10,77.26,78378.0
NINGDE-3,Operational,China,PWR,CPR-1000,"Fujian Ningde Nuclear Power Company, Ltd.","Fujian Ningde Nuclear Power Company, Ltd.",1018,1018,1089,2905,2010-01-08,2015-03-08,,,2015-03-21,2015-06-10,,,,35.04,35.04,9,69.03,69740.0
NINGDE-4,Operational,China,PWR,CPR-1000,"Fujian Ningde Nuclear Power Company, Ltd.","Fujian Ningde Nuclear Power Company, Ltd.",1018,1018,1089,2905,2010-09-29,2016-03-16,,,2016-03-29,2016-07-21,,,,35.04,35.04,8,59.0,58968.0
NINGDE-5,Under Construction,China,PWR,HPR1000,"Fujian Ningde Second Nuclear Power Co., Ltd.","Fujian Ningde Nuclear Power Company, Ltd.",1200,1200,1200,3180,2024-07-28,N/A,,,N/A,N/A,,,,37.74,37.74,0,0.0,0.0
QINSHAN 2-1,Operational,China,PWR,CNP-600,NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.,CNNC Nuclear Operation Management Company Limited,623,610,650,1930,1996-06-02,2001-11-15,,,2002-02-06,2002-04-15,,,,32.28,31.61,22,100.1,162766.0
QINSHAN 2-2,Operational,China,PWR,CNP-600,NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.,CNNC Nuclear Operation Management Company Limited,623,610,650,1930,1997-04-01,2004-02-25,,,2004-03-11,2004-05-03,,,,32.28,31.61,20,95.27,155395.0
QINSHAN 2-3,Operational,China,PWR,CNP-600,NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.,CNNC Nuclear Operation Management Company Limited,623,619,660,1930,2006-04-28,2010-07-13,,,2010-08-01,2010-10-05,,,,32.28,32.07,14,65.6,107222.0
QINSHAN 2-4,Operational,China,PWR,CNP-600,NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.,CNNC Nuclear Operation Management Company Limited,623,619,660,1930,2007-01-28,2011-11-17,,,2011-11-25,2011-12-30,,,,32.28,32.07,13,59.6,97380.0
QINSHAN 3-1,Operational,China,PHWR,CANDU 6,"Qinshan Third nuclear power Co., LTD",CNNC Nuclear Operation Management Company Limited,677,677,728,2064,1998-06-08,2002-09-21,,,2002-11-19,2002-12-31,,,,32.8,32.8,22,110.02,167336.0
QINSHAN 3-2,Operational,China,PHWR,CANDU 6,"Qinshan Third nuclear power Co., LTD",CNNC Nuclear Operation Management Company Limited,677,677,728,2064,1998-09-25,2003-01-18,,,2003-06-12,2003-07-24,,,,32.8,32.8,21,105.88,161136.0
QINSHAN-1,Operational,China,PWR,CNP-300,QINSHAN NUCLEAR POWER COMPANY,CNNC Nuclear Operation Management Company Limited,326,289,330,966,1985-03-20,1991-10-31,,,1991-12-15,1994-04-01,,,,33.75,29.92,33,67.03,228686.0
